recording_id,recipe,activity_id,label,person_id,environment_id,source,path,duration_s,annotated_duration_s,size_bytes,server_size_bytes,width,height,fps,codec,sha256
12_2,Tomato Mozzarella Salad,12,normal,4,1,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_2_360p.mp4,428.66,428.66,49012800,49012800,640,360,29.97,h264,6221e3181017d8916bbcb45b93f3f5a2c03525d5f85b8bd2bb024ce3bbabdc8c
12_5,Tomato Mozzarella Salad,12,normal,2,5,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_5_360p.mp4,477.14,477.14,62622561,62622561,640,360,29.97,h264,be42195000aaff187b82e8987fce849c1c35c7eaaeb06981fa25af3d35851417
12_6,Tomato Mozzarella Salad,12,error,3,2,hololens_sync_pv_video,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_6_360p.mp4,385.43,385.43,229816800,229816800,640,360,30.0,mpeg4,f72a9292762fbc9c40e91910dea0945ae40a86e349a640e516dfd982fbed910f
12_9,Tomato Mozzarella Salad,12,normal,3,5,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_9_360p.mp4,451.52,451.52,52286678,52286678,640,360,29.97,h264,96f4e7ef6766fe21cee0edfb1c8b3f70fbd18306ef66224e5e18892d6863e10a
12_10,Tomato Mozzarella Salad,12,normal,3,2,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_10_360p.mp4,393.56,393.56,51538656,51538656,640,360,29.97,h264,b6257ba98ef3d4a34be01fa93e947b059d07bcc0bc7fa3edbe6123ca271d89eb
12_12,Tomato Mozzarella Salad,12,normal,5,1,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_12_360p.mp4,534.43,534.43,61091794,61091794,640,360,29.97,h264,12356dd71c273a3e693378c6c2d5cd3469eb018211789dacd4aed62ae57b7f1a
12_13,Tomato Mozzarella Salad,12,normal,4,5,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_13_360p.mp4,525.69,525.69,57663661,57663661,640,360,29.97,h264,e3351a03d96fce97eb6b87a6c24467772aaf29337ccf8e49bcc508d1ec69d5b6
12_15,Tomato Mozzarella Salad,12,normal,2,2,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_15_360p.mp4,462.73,462.73,64071341,64071341,640,360,29.97,h264,e161296ef2514ccbefb702c91684eb0d454765563d56a5164af7731f62ecd53c
12_16,Tomato Mozzarella Salad,12,normal,3,6,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_16_360p.mp4,335.64,335.64,48635637,48635637,640,360,29.97,h264,734f744b926cdeed134d371a267bf5f387abeb8fec55cae28672829321231626
12_17,Tomato Mozzarella Salad,12,normal,2,6,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_17_360p.mp4,247.15,247.15,37136930,37136930,640,360,29.97,h264,9a41784ca2a764930568ac99ebc9f9ce57c0e3afc5a7f5871cbed7a661b30bc8
